file,year,row_number,hunt_code,field,old_value,new_value,source_pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,resident_eligible_applicants,,1411,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,resident_regular_permits,,1,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,resident_success_ratio,,"1 in 1,411.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,resident_p_draw,,0.000708717221828,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,resident_p_draw_percent,,0.070871722,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,nonresident_eligible_applicants,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,nonresident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,nonresident_regular_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,nonresident_total_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,nonresident_success_ratio,,N/A,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,total_eligible_applicants,,1411,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,total_success_ratio,,"1 in 1,411.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,total_p_draw,,0.000708717221828,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30579,CG1000,total_p_draw_percent,,0.070871722,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,resident_eligible_applicants,,10594,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,resident_regular_permits,,1,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,resident_success_ratio,,"1 in 10,594.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,resident_p_draw,,9.43930526713e-05,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,resident_p_draw_percent,,0.0094393053,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,nonresident_eligible_applicants,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,nonresident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,nonresident_regular_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,nonresident_total_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,nonresident_success_ratio,,N/A,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,total_eligible_applicants,,10594,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,total_success_ratio,,"1 in 10,594.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,total_p_draw,,9.43930526713e-05,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30580,DB0007,total_p_draw_percent,,0.0094393053,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,resident_eligible_applicants,,5086,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,resident_regular_permits,,1,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,resident_success_ratio,,"1 in 5,086.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,resident_p_draw,,0.000196618167519,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,resident_p_draw_percent,,0.019661817,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,nonresident_eligible_applicants,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,nonresident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,nonresident_regular_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,nonresident_total_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,nonresident_success_ratio,,N/A,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,total_eligible_applicants,,5086,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,total_success_ratio,,"1 in 5,086.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,total_p_draw,,0.000196618167519,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30581,DS1000,total_p_draw_percent,,0.019661817,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,resident_eligible_applicants,,10847,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,resident_regular_permits,,1,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,resident_success_ratio,,"1 in 10,847.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,resident_p_draw,,9.21913893242e-05,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,resident_p_draw_percent,,0.0092191389,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,nonresident_eligible_applicants,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,nonresident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,nonresident_regular_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,nonresident_total_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,nonresident_success_ratio,,N/A,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,total_eligible_applicants,,10847,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,total_success_ratio,,"1 in 10,847.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,total_p_draw,,9.21913893242e-05,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30582,EB1000,total_p_draw_percent,,0.0092191389,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,resident_eligible_applicants,,4113,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,resident_regular_permits,,1,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,resident_success_ratio,,"1 in 4,113.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,resident_p_draw,,0.00024313153416,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,resident_p_draw_percent,,0.024313153,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,nonresident_eligible_applicants,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,nonresident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,nonresident_regular_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,nonresident_total_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,nonresident_success_ratio,,N/A,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,total_eligible_applicants,,4113,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,total_success_ratio,,"1 in 4,113.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,total_p_draw,,0.00024313153416,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30583,GO1000,total_p_draw_percent,,0.024313153,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30584,MB1000,resident_eligible_applicants,,6585,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
outputs/2022 scorable draw results.csv,2022,30584,MB1000,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
