hunt_code,record_type,residency,points,blank_fields
BR7012,point_level_draw_result,Nonresident,8,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Nonresident,9,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7012,point_level_draw_result,Nonresident,10,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7012,point_level_draw_result,Resident,0,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7012,point_level_draw_result,Resident,1,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,2,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,3,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,4,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,5,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,6,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,7,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,8,successful_applicants|unsuccessful_applicants|pdf_page
BR7012,point_level_draw_result,Resident,9,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7012,point_level_draw_result,Resident,10,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Nonresident,0,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,1,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,2,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,3,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,4,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,5,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,6,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,7,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,8,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,9,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,10,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,11,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Nonresident,12,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7013,point_level_draw_result,Resident,0,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Resident,1,successful_applicants|unsuccessful_applicants|pdf_page
BR7013,point_level_draw_result,Resident,2,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Resident,3,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Resident,4,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Resident,5,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Resident,6,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7013,point_level_draw_result,Resident,7,successful_applicants|unsuccessful_applicants|pdf_page
BR7013,point_level_draw_result,Resident,8,successful_applicants|unsuccessful_applicants|pdf_page
BR7013,point_level_draw_result,Resident,9,successful_applicants|unsuccessful_applicants|pdf_page
BR7013,point_level_draw_result,Resident,10,successful_applicants|unsuccessful_applicants|pdf_page
BR7013,point_level_draw_result,Resident,11,successful_applicants|unsuccessful_applicants|pdf_page
BR7013,point_level_draw_result,Resident,12,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,0,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,1,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,2,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,3,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,4,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,5,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,6,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Nonresident,7,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,8,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Nonresident,9,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Nonresident,10,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Nonresident,11,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Nonresident,12,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Nonresident,13,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Nonresident,14,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Nonresident,15,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Nonresident,16,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Nonresident,17,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Resident,0,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,1,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,2,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,3,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,4,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,5,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,6,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,7,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,8,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,9,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7014,point_level_draw_result,Resident,10,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,11,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,12,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,13,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,14,successful_applicants|unsuccessful_applicants|pdf_page
BR7014,point_level_draw_result,Resident,15,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Resident,16,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7014,point_level_draw_result,Resident,17,successful_applicants|unsuccessful_applicants|pdf_page
BR7015,point_level_draw_result,Nonresident,0,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,1,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,2,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,3,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,4,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,5,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,6,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,7,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,8,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,9,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,10,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Nonresident,11,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Resident,0,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,1,successful_applicants|unsuccessful_applicants|pdf_page
BR7015,point_level_draw_result,Resident,2,successful_applicants|unsuccessful_applicants|pdf_page
BR7015,point_level_draw_result,Resident,3,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,4,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,5,successful_applicants|unsuccessful_applicants|pdf_page
BR7015,point_level_draw_result,Resident,6,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,7,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,8,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,9,successful_applicants|unsuccessful_applicants|p_draw|pdf_page
BR7015,point_level_draw_result,Resident,10,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7015,point_level_draw_result,Resident,11,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Nonresident,0,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Nonresident,1,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Nonresident,2,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Nonresident,3,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Nonresident,4,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,5,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,6,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,7,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,8,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,9,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,10,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,11,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,12,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,13,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,14,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,15,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Nonresident,16,successful_applicants|unsuccessful_applicants|p_draw|p_draw_percent|permits_2026_res|permits_2026_nr|permits_2026_total
BR7016,point_level_draw_result,Resident,0,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Resident,1,successful_applicants|unsuccessful_applicants|pdf_page
BR7016,point_level_draw_result,Resident,2,successful_applicants|unsuccessful_applicants|pdf_page
